TimeStamp,North,South
1683127757,0,0
1683131357,0,0
1683134957,0,0
1683138557,0,0
1683142157,0,0
1683145757,0,0
1683149357,0,0
1683152957,0,0
1683156557,761,720
1683160157,715,719
1683163757,635,762
1683167357,460,773
1683170957,379,568
1683174557,382,583
1683178157,303,456
1683181757,290,377
1683185357,229,284
1683188957,147,222
1683192557,94,200
1683196157,81,131
1683199757,126,148
1683203357,137,122
1683206957,149,138
1683210557,294,208
1683214157,431,348
1683217757,575,436
1683221357,811,537
1683224957,857,645
1683228557,943,762
1683232157,1003,849
1683235757,1155,886
1683239357,1051,804
1683242957,843,879
1683246557,807,911
1683250157,676,872
1683253757,520,691
1683257357,439,679
1683260957,430,658
1683264557,340,445
1683268157,277,356
1683271757,215,215
1683275357,158,228
1683278957,169,224
1683282557,93,133
1683286157,112,134
1683289757,122,150
1683293357,205,204
1683296957,289,201
1683300557,380,288
1683304157,593,377
1683307757,792,541
1683311357,874,719
1683314957,908,871
1683318557,995,923
1683322157,905,904
1683325757,1116,921
1683329357,1030,912
1683332957,938,964
1683336557,758,815
1683340157,687,798
1683343757,572,784
1683347357,468,576
1683350957,413,500
1683354557,322,416
1683358157,276,328
1683361757,170,259
1683365357,173,211
1683368957,113,177
1683372557,102,151
1683376157,109,138
1683379757,141,142
1683383357,234,147
1683386957,323,248
1683390557,490,336
1683394157,800,467
1683397757,729,584
1683401357,952,746
1683404957,753,752
1683408557,791,850
1683412157,876,731
1683415757,769,815
1683419357,752,676
1683422957,634,699
1683426557,556,483
1683430157,460,529
1683433757,397,379
1683437357,322,350
1683440957,250,264
1683444557,144,225
1683448157,167,203
1683451757,143,111
1683455357,99,67
1683458957,89,75
1683462557,67,64
1683466157,97,100
1683469757,165,128
1683473357,296,210
1683476957,557,234
1683480557,714,444
1683484157,974,576
1683487757,1115,917
1683491357,1176,997
1683494957,1215,1044
1683498557,1240,1104
1683502157,1009,1149
1683505757,933,978
1683509357,802,926
1683512957,725,837
1683516557,533,641
1683520157,476,543
1683523757,346,406
1683527357,223,268
1683530957,188,161
1683534557,136,139
1683538157,118,151
1683541757,114,68
1683545357,79,116
1683548957,131,110
1683552557,130,97
1683556157,241,144
1683559757,387,202
1683563357,575,277
1683566957,718,382
1683570557,783,531
1683574157,842,659
1683577757,966,869
1683581357,947,741
1683584957,1055,819
1683588557,924,818
1683592157,783,958
1683595757,656,932
1683599357,560,765
1683602957,481,743
1683606557,361,636
1683610157,274,516
1683613757,243,450
1683617357,200,321
1683620957,214,171
1683624557,141,240
1683628157,112,168
1683631757,103,179
1683635357,135,117
1683638957,162,126
1683642557,307,209
1683646157,483,257
1683649757,542,366
1683653357,703,488
1683656957,873,562
1683660557,997,707
1683664157,1041,725
1683667757,1160,696
1683671357,1054,970
1683674957,832,843
1683678557,797,852
1683682157,712,757
1683685757,617,730
1683689357,498,684
1683692957,432,484
1683696557,371,407
1683700157,267,284
1683703757,199,252
1683707357,239,182
1683710957,127,210
1683714557,80,168
1683718157,109,133
1683721757,163,147
1683725357,164,173
1683728957,309,204
1683732557,415,292
1683736157,632,434
1683739757,816,447
1683743357,763,650
1683746957,983,757
1683750557,1124,759
1683754157,1128,833
1683757757,1011,835
1683761357,979,829
1683764957,770,863
1683768557,783,936
1683772157,568,759
1683775757,496,652
1683779357,320,544
1683782957,380,512
1683786557,338,400
1683790157,187,338
1683793757,171,208
1683797357,120,163
1683800957,178,196
1683804557,134,166
1683808157,170,128
1683811757,165,173
1683815357,386,261
1683818957,454,351
1683822557,702,447
1683826157,911,525
1683829757,978,753
1683833357,1135,826
1683836957,1029,877
